from,to,relation
JL,SU,1
JL,TTP,1
JL,EA,1
JL,CA,1
JL,UM,1
MT,RCC,1
MT,VLC,1
MT,VZ,1
MT,LCVB,1
MT,SP,1
MT,VCM,1
ET,TTP,1
ET,AA,1
ET,EST,1
ET,LBA,1
HK,U,1
HK,OS,1
HK,BS,1
IVV,AK,1
IVV,RCC,1
IVV,BF,1
IVV,CL,1
IVV,RRV,1
IVV,CSMT,1
JN,GBL,1
JN,PCCB,1
JN,PB,1
JN,SPS,1
SL,KAF,1
SL,B,1
SL,IVC,1
SL,PSU,1
MSP,BVMB,1
MSP,DSC,1
MSP,BSBC,1
MSP,STM,1
MSP,DIT,1
MSP,GHO,1
MSP,CVB,1
HJ,SLT,1
HJ,VCS,1
HD,MTVSJ,1
HD,BS,1
KR,UA,1
KR,BA,1
KR,LBM,1
LB,TM,1
LB,BS,1
LB,VCOB,1
RK,NB,1
RK,LP ,1
RK,LPV,1
RK,HL,1
RK,K ,1
RK,SP,1
LG,MTVSJ,1
LG,BS,1
JL,NL ,2
MT,BU,2
ET,NL,2
HK,D,2
IVV,BE,2
JN,P,2
SL,USA,2
MSP,S,2
HJ,NL,2
HD,D,2
KR,USA,2
LB,D,2
RK,F,2